name,population
Ишим,64010
Ишимбай,63849
Йошкар-Ола,276155
Кадников,4440
Казань,1257341
Калач,17896
Калач-на-Дону,23503
Калачинск,22297
Калининград,493256
Калининск,15207
Калтан,20193
Калуга,331842
Калязин,12294
Камбарка,10048
Каменка,33933
Каменногорск,6151
Каменск-Уральский,163990
Каменск-Шахтинский,87113
Камень-на-Оби,40294
Камешково,11840
Камызяк,15753
Камышин,108665
Камышлов,25582
Канаш,44438
Кандалакша,29750
Канск,88362
Карабаново,15023
Карабаш,10616
Карабулак,43549
Карасук,26733
Карачаевск,20711
Карачев,16921
Каргат,8914
Каргополь,10025
Карпинск,25599
Карталы,28029
Касимов,28753
Касли,15417
Каспийск,128663
Катав-Ивановск,15368
Катайск,12341
Качканар,37687
Кашин,13576
Кашира,46380
Кедровый,1918
Кемерово,552546
Кемь,10463
Керчьне призн.,151996
Кизел,13186
Кизилюрт,38147
Кизляр,49181
Кимовск,25142
Кимры,42301
Кингисепп,44612
Кинель,35644
Кинешма,79936
Киреевск,26277
Киренск,10989
Киржач,26381
Кириллов,7371
Кириши,50079
Киров,29925
Киров,521091
Кировград,18577
Кирово-Чепецк,68588
Кировск,25944
Кировск,27391
Кирс,8982
Кирсанов,15753
Киселёвск,85339
Кисловодск,127919
Клин,79635
Клинцы,62704
Княгинино,6563
Ковдор,15850
Ковров,134074
Ковылкино,18585
Когалым,68700
Кодинск,15436
Козельск,16329
Козловка,8450
Козьмодемьянск,19970
Кола,9560
Кологрив,2706
Коломна,138693
Колпашево,22589
Кольчугино,41369
Коммунар,21920
Комсомольск,7978
Комсомольск-на-Амуре,241072
Конаково,35407
Кондопога,28744
Кондрово,14424
Константиновск,16842
Копейск,145961
Кораблино,10920
Кореновск,42480
Коркино,33451
Королёв,225299
Короча,5659
Корсаков,33451
Коряжма,35345
Костерёво,7997
Костомукша,29778
Кострома,277393
Котельники,50723
Котельниково,20317
Котельнич,22508
Котлас,62284
Котово,21120
Котовск,28663
Кохма,30336
Красавино,5827
Красноармейск,22083
Красноармейск,26449
Красновишерск,14683
Красногорск,175812
Краснодар,948827
Краснозаводск,12712
Краснознаменск,3049
Краснознаменск,43959
Краснокаменск,51451
Краснокамск,51815
Красноперекопскне призн.,24660
Краснослободск,16838
Краснослободск,8948
Краснотурьинск,55910
Красноуральск,22304
Красноуфимск,37444
Красноярск,1092851
Красный Кут,13966
Красный Сулин,37492
Красный Холм,4950
Кремёнки,10139
Кропоткин,77074
Крымск,58051
Кстово,66928
Кубинка,20417
Кувандык,23225
Кувшиново,8853
Кудрово,49079
Кудымкар,29807
Кузнецк,79800
Куйбышев,43195
Кукмор,17790
Кулебаки,31509
Кумертау,59129
Кунгур,64259
Купино,13711
Курган,309285
Курганинск,47975
Курильск,1603
Курлово,5639
Куровское,20542
Курск,450977
Куртамыш,16401
Курчалой,27478
Курчатов,37940
Куса,16497
Кушва,26787
Кызыл,120067
Кыштым,35854
Кяхта,20654
Лабинск,58498
Лабытнанги,26520
Лагань,12684
Ладушкин,3820
Лаишево,8854
Лакинск,13947
Лангепас,45063
Лахденпохья,6890
Лебедянь,19031
Лениногорск,61321
Ленинск,14366
Ленинск-Кузнецкий,93288
Ленск,23266
Лермонтов,23249
Лесной,49259
Лесозаводск,34827
Лесосибирск,58949
Ливны,47019
Ликино-Дулёво,28789
Липецк,503216
Липки,8084
Лиски,52823
Лихославль,11285
Лобня,89522
Лодейное Поле,18766
Лосино-Петровский,25464
Луга,33704
Луза,9658
Лукоянов,13560
Луховицы,30383
Лысково,20828
Лысьва,59610
Лыткарино,59937
Льгов,17890
Любань,4324
Люберцы,208397
Любим,5021
Людиново,36822
Лянтор,41607
Магадан,91797
Магас,13601
Магнитогорск,413251
Майкоп,139084
Майский,26318
Макаров,6091
Макарьев,6266
Макушино,7680
Малая Вишера,10161
Малгобек,39096
Малмыж,7013
Малоархангельск,3141
Малоярославец,27922
Мамадыш,15822
Мамоново,8104
Мантурово,14747
